"country","iso3","mammals","birds","fishes","plants","total"
"Madagascar","MDG",133,37,127,2894,3191
"Ecuador","ECU",49,86,99,2029,2263
"Brazil","BRA",97,155,360,1346,1958
"Mexico","MEX",97,68,308,1426,1899
"Indonesia","IDN",212,161,366,977,1716
"Malaysia","MYS",80,67,183,1317,1647
"Tanzania","TZA",45,46,219,1010,1320
"Colombia","COL",63,102,183,918,1266
"Philippines","PHL",42,91,143,903,1179
"Australia","AUS",69,66,214,766,1115
"Cameroon","CMR",48,31,148,888,1115
"United States","USA",43,87,283,688,1101
"China","CHN",78,94,207,713,1092
"India","IND",99,92,290,527,1008
"Papua New Guinea","PNG",51,38,132,641,862
